schema,DG_ted,JE_ted,JSF_ted,DG_type_of_errors,JE_type_of_errors,JSF_type_of_errors
o20487,0,,4,[],[],[]
o20488,3,,7,[],[],[]
o20489,1,,2,[],[],[]
o2050,0,,36,[],[],[]
o20526,2,6,16,[],[],[]
o20530,2,,2,[],[],[]
o20531,2,,47,[],[],[]
o2058,2,,4,[],[],['required']
o2060,,62,2,[],[],[]
o2067,5,,14,[],[],[]
o2068,0,24,18,[],[],[]
o2069,3,3,3,[],[],[]
o21,0,,864,[],[],[]
o21082,2,3,18,[],[],[]
o21083,4,4,11,[],[],['required']
o21087,3,5,7,[],[],[]
o21089,2,18,6,[],[],[]
o2109,0,,71,[],[],[]
o21091,4,10,10,[],[],[]
o21093,3,3,12,[],[],['required']
o21095,4,11,36,[],[],['required']
o21096,3,3,17,[],[],[]
o21097,2,2,24,[],[],[]
o21099,2,2,10,[],[],[]
o21100,2,22,5,[],[],['required']
o21103,0,0,20,[],[],[]
o21108,9,15,14,[],[],[]
o21112,7,,18,[],[],[]
o21114,2,10,12,[],[],[]
o21156,7,,,[],[],[]
o21157,17,,611,[],[],[]
o21159,4,,66,[],[],[]
o21160,8,,1724,[],[],[]
o21161,18,,1418,[],[],[]
o21163,6,,99,[],[],[]
o21164,7,,683,[],[],[]
o21165,18,,1402,[],[],[]
o21167,6,,44,[],[],[]
o21168,7,,,[],[],[]
o21169,17,,1676,[],[],[]
o21171,5,,86,[],[],[]
o21172,8,,1977,[],[],[]
o21173,19,,1811,[],[],[]
o21174,0,0,49,[],[],[]
o21175,7,,79,[],[],[]
o21176,7,,1818,[],[],[]
o21178,0,0,53,[],[],[]
o21184,10,,1964,[],[],[]
o21185,21,,2010,[],[],[]
o21186,0,0,77,[],[],[]
o21187,8,,98,[],[],[]
o21188,8,,1568,[],[],[]
o21189,18,,1725,[],[],[]
o21191,7,,72,[],[],[]
o21192,8,,1394,[],[],[]
o21193,20,,379,[],[],[]
o21194,0,0,2,[],[],[]
o21195,6,,114,[],[],[]
o21196,9,,512,[],[],[]
o21197,20,,1418,[],[],[]
o21199,8,,53,[],[],[]
o21200,16,,841,[],[],[]
o21202,3,,55,[],[],[]
o21203,10,,1854,[],[],[]
o21205,0,0,10,[],[],[]
o21207,9,,820,[],[],[]
o21209,0,0,9,[],[],[]
o21211,7,,1683,[],[],[]
o21215,7,,879,[],[],[]
o21216,17,,1418,[],[],[]
o21217,0,0,82,[],[],[]
o21218,5,,110,[],[],[]
o21219,9,,1554,[],[],[]
o21220,19,,1448,[],[],[]
o21221,0,0,2,[],[],[]
o21222,7,,328,[],[],[]
o21223,8,,1316,[],[],[]
o21224,18,,1962,[],[],[]
o21225,0,0,2,[],[],[]
o21226,6,,107,[],[],[]
o21227,8,,1511,[],[],[]
o21228,20,,640,[],[],[]
o21230,5,,75,[],[],[]
o21231,8,,1030,[],[],[]
o21232,18,,631,[],[],[]
o21234,5,,26,[],[],[]
o21235,5,,919,[],[],[]
o21239,7,,430,[],[],[]
