schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors,correct_instance_ast_size,DG_ast_size,JE_ast_size,JSF_ast_size
o23086,0,4,8,0,0,0,1,1,5,13
o23087,2,2,12,0,0,0,5,5,5,15
o2312,2,12,163,1,1,0,3,3,13,213
o23148,1,,1,0,,0,3,3,,3
o23176,0,121,64,0,0,0,1,1,151,69
o23177,3,48,178,0,19,0,11,11,77,217
o23230,4,29,39,0,2,0,13,13,41,51
o23494,4,34,3,0,0,0,13,13,47,13
o2379,0,30,86,0,0,0,1,1,31,93
o24172,1,276,76,0,0,0,3,3,351,87
o24174,3,3,60,0,0,0,7,7,7,69
o24176,1,3,24,0,0,0,3,3,5,29
o24180,4,,43,0,,0,9,9,,55
o24182,0,0,11,0,0,0,1,1,1,13
o24189,0,0,2,0,0,0,1,1,1,3
o24196,1,4,4,0,0,0,7,7,13,11
o24202,1,3,1,0,0,0,3,3,5,3
o24462,6,,67,0,,0,23,23,,95
o24463,4,278,,0,0,,11,11,407,
o24464,21,225,151,0,49,1,61,61,279,193
o24465,2,2,3,0,0,0,5,5,5,7
o24466,2,68,147,0,7,0,11,11,91,217
o24468,3,3,64,0,0,1,7,7,7,71
o24474,0,8,5,0,0,0,1,1,17,11
o24503,1,,1,0,,0,1,1,,1
o24544,0,8,4,0,0,0,1,1,9,5
o2460,0,42,12,0,0,0,1,1,51,13
o2463,0,52,14,0,0,0,1,1,75,15
o24891,,6,2,,0,0,1,,7,3
o24930,0,0,0,0,0,0,1,1,1,1
o24956,0,,41,0,,0,3,3,,47
o24957,0,,0,0,,0,3,3,,3
o24958,0,,53,0,,0,3,3,,61
o24987,5,5,,0,0,,11,11,11,
o25106,3,,11,0,,0,7,7,,15
o25107,1,1,1,0,0,0,3,3,3,3
o25166,0,6,4,0,0,0,1,1,7,5
o25175,0,42,4,0,0,0,1,1,53,5
o25177,0,6,4,0,0,0,1,1,7,5
o25182,0,177,4,0,0,0,1,1,243,5
o25183,,,1,,,0,1,,,1
o25406,1,,3,0,,0,3,3,,5
o25419,2,22,5,0,1,0,5,7,41,9
o25423,1,10,463,0,3,14,5,5,13,495
o25692,0,454,15,0,6,0,3,3,579,19
o25695,0,480,44,0,8,3,3,3,619,55
o25711,0,165,41,0,0,0,3,3,215,57
o25731,5,4,13,1,1,0,7,3,5,21
o25733,1,107,28,0,1,0,3,3,153,37
o25741,1,74,56,0,0,0,3,3,91,69
o25751,5,5,13,1,1,0,7,3,9,23
o25763,0,161,31,0,10,0,3,3,217,37
o25768,0,345,21,0,10,2,3,3,475,27
o25771,0,21,30,0,5,2,3,3,29,37
o25781,0,171,75,0,0,0,3,3,189,81
o25793,0,0,2,0,0,0,1,1,1,3
o25803,0,10,6,0,0,0,1,1,11,7
o25804,1,3,9,0,0,0,3,3,5,11
o25805,0,5,30,0,0,0,1,1,7,31
o25806,1,25,51,0,0,0,3,3,27,53
o25886,0,0,0,0,0,0,1,1,1,1
o25939,4,34,17,0,0,0,19,19,73,45
o25942,0,5,2,0,0,0,1,1,11,5
o25945,5,5,5,0,0,0,15,15,15,15
o25947,1,24,1,0,1,0,3,3,31,3
o25952,2,24,3,0,2,0,7,7,35,9
o25953,4,33,4,0,2,0,13,13,33,13
o25956,0,25,14,0,2,0,5,5,35,19
o25962,3,,8,0,,0,9,9,,15
o25968,2,8,2,0,0,0,5,5,17,5
o25969,1,58,2,0,1,1,7,7,61,5
o25970,0,5,31,0,2,0,1,1,11,55
o25974,5,63,5,0,3,0,15,15,83,15
o25975,2,78,6,0,0,0,11,11,113,19
o25976,0,5,2,0,2,0,7,7,3,7
o25978,4,6,22,0,1,0,15,15,15,41
o25979,6,119,17,0,0,0,19,19,157,35
o25980,1,5,3,0,1,0,5,5,3,5
o25981,2,22,2,0,0,0,5,5,35,5
o25982,1,19,3,0,0,0,3,3,21,5
o25988,1,,1,0,,0,1,1,,1
o26111,2,28,17,0,1,0,7,7,47,21
o26117,0,101,36,0,0,0,1,1,111,41
o26118,0,140,13,0,0,0,1,1,165,15
o26197,0,39,20,0,0,0,1,1,57,21
o26198,0,202,,0,0,,1,1,261,
o26216,2,2,2,0,0,0,5,5,5,5
o26217,2,29,98,0,7,0,7,7,41,115
o26257,1,,354,0,,0,5,5,,405
o26314,0,2,1646,0,0,0,1,1,3,1885
o26565,0,,81,0,,0,1,1,,103
o26566,4,,266,0,,0,15,15,,317
o26578,0,,2,0,,0,7,7,,7
o26592,3,11,11,0,0,0,7,7,15,15
o26603,0,14,155,0,0,0,1,1,15,159
o26621,0,0,238,0,0,0,1,1,1,241
o26627,0,102,70,0,66,0,3,3,171,113
o26628,1,44,1,0,0,0,5,5,55,5
o26646,3,55,9,0,0,0,13,13,65,19
o26649,2,,92,0,,0,5,5,,105
o26651,2,44,84,0,2,0,5,5,53,109
o26690,2,79,213,0,0,0,5,5,97,235
o26966,0,18,12,0,0,0,1,1,21,13
o26969,0,4,21,0,0,0,1,1,5,23
o26972,0,10,26,0,0,0,1,1,11,39
o26974,0,14,10,0,0,0,1,1,15,11
o26975,0,165,18,0,0,0,1,1,247,19
o26982,0,24,6,0,0,0,1,1,25,7
o26992,0,8,10,0,0,0,1,1,9,11
o27006,0,10,26,0,0,0,1,1,13,27
o27017,2,6,20,0,0,0,5,5,9,23
o27018,2,4,14,0,0,0,5,5,7,17
o27019,0,2,22,0,0,0,1,1,3,23
o27021,0,74,2,0,0,0,1,1,97,3
o27022,0,,4,0,1,0,1,1,1,5
o27023,0,38,16,0,0,0,1,1,39,19
o27028,0,6,2,0,0,0,1,1,7,3
o27031,0,4,8,0,0,0,1,1,5,9
o27032,0,6,8,0,0,0,1,1,9,9
o27034,0,6,8,0,0,0,1,1,7,9
o27037,0,78,16,0,0,0,1,1,91,17
o27039,4,15,254,0,7,1,13,13,21,281
o27041,0,,,0,,,1,1,,
o27042,0,104,14,0,0,0,1,1,151,15
o27044,1,,1,0,,0,3,3,,3
o27046,1,105,40,0,0,0,5,5,137,47
o27074,0,5,26,0,5,1,3,3,13,31
o27219,0,24,38,0,0,0,1,1,25,43
o27224,0,40,10,0,0,0,1,1,51,11
o27248,1,23,3,0,0,0,5,5,27,7
o27258,,12,,,0,,1,,13,
o27348,12,,,1,,,35,33,,
o27350,1,,3,0,,0,7,7,,9
o27351,0,36,29,0,0,0,1,1,47,31
o27352,1,122,16,0,0,0,11,11,171,41
o27354,0,37,16,0,0,0,1,1,55,17
o27355,1,,7,0,,0,5,5,,11
o27356,0,61,16,0,0,0,1,1,85,17
o27357,0,2,18,0,0,0,1,1,3,19
o27358,3,45,3,0,0,0,11,11,53,11
o27360,1,15,23,0,0,0,5,5,19,27
o27361,0,,30,0,,0,3,3,,33
o27362,0,2,28,0,0,0,1,1,3,29
o27363,0,8,18,0,0,0,1,1,9,19
o27395,1,1,5,0,0,0,3,3,3,7
o27402,5,57,35,0,20,0,17,17,91,51
o27713,0,14,73,0,0,0,3,3,17,81
o27771,0,69,10,0,0,0,1,1,93,11
o27772,0,122,16,0,0,0,1,1,135,17
o27786,1,28,6,0,2,0,7,7,37,13
o27787,0,16,26,0,1,1,7,7,25,43
o27788,1,23,39,0,9,1,13,13,33,67
o27789,0,9,44,0,9,1,5,5,21,53
o27790,0,0,74,0,0,0,1,1,1,79
o27793,2,6,6,0,0,0,5,5,9,9
o27826,0,66,22,0,8,0,1,1,97,29
o27827,0,89,108,0,24,0,1,1,115,113
o27828,0,20,20,0,0,0,1,1,25,25
o27832,2,2,2,0,0,0,5,5,5,5
o27834,1,,1,0,,0,1,1,,1
o27835,0,0,4,0,0,0,1,1,1,5
o27836,0,23,39,0,4,0,1,1,29,45
o27837,0,0,6,0,0,0,1,1,1,9
o27839,0,43,96,0,9,3,1,1,51,105
o27840,3,,27,0,,0,5,3,,47
o27843,0,12,12,0,4,0,1,1,17,17
o27844,2,2,2,0,0,0,5,5,5,5
o27845,2,1,1,0,0,0,5,5,5,5
o27846,2,2,18,0,0,0,5,5,5,21
o27848,0,,12,0,,0,1,1,,13
o28130,7,,29,0,,0,17,17,,39
o28131,4,,12,0,,0,11,11,,19
o28139,2,,2,0,,0,7,7,,7
o28145,0,,5,0,,0,5,5,,9
o28168,0,2,4,0,0,0,1,1,3,5
o28187,1,,4,0,,1,5,5,,7
o28194,1,,2,0,,0,7,7,,7
o28196,3,3,9,0,0,0,7,7,7,13
o28201,3,,6,0,,0,7,7,,11
o28203,4,,4,0,,0,11,11,,11
o28206,1,,5,0,,0,5,5,,9
o28210,1,,1,0,,0,5,5,,5
o28226,2,3,5,0,1,0,7,7,9,11
o28242,0,14,9,0,0,0,1,1,21,11
o28254,2,,4,0,,0,5,5,,7
o28256,3,9,9,0,0,0,7,7,13,13
o28258,0,0,8,0,0,0,1,1,1,9
o28259,0,0,6,0,0,0,1,1,1,7
o28260,0,0,10,0,0,0,1,1,1,11
o28263,1,3,3,0,0,0,3,3,5,5
o28266,0,0,4,0,0,0,1,1,1,5
o28268,0,0,6,0,0,0,1,1,1,7
o28269,0,0,6,0,0,0,1,1,1,7
o28277,9,9,2,1,1,0,9,11,9,9
o28532,1,5,1,0,0,0,3,3,7,3
o28533,0,205,70,0,0,0,1,1,303,81
o28606,0,19,21,0,0,0,3,3,27,25
o28609,8,10,10,0,0,0,19,19,21,21
o28610,0,,1544,0,,0,3,3,,1617
o28612,8,10,13,0,0,0,25,25,29,29
o28613,0,,310,0,,0,3,3,,327
o28614,8,10,10,0,0,0,19,19,21,21
o28617,8,,51,0,,0,25,25,,69
o28618,8,,435,0,,0,25,25,,471
o28953,0,469,38,0,0,0,1,1,581,39
o28956,4,106,36,0,0,0,13,13,137,49
o29019,0,0,68,0,0,0,1,1,1,69
o29020,0,0,581,0,0,0,1,1,1,719
o29021,4,5,13,1,1,0,9,5,5,29
o29023,,,6,,,0,17,,,17
o29024,1,2,3,0,0,0,3,3,5,5
o29042,0,0,4,0,0,0,1,1,1,5
o29388,6,99,276,0,1,1,15,15,139,301
o29389,0,20,185,0,2,3,13,13,23,201
o29393,6,,185,0,,0,25,25,,233
o29394,3,78,27,0,1,0,11,11,115,37
o29445,0,0,67,0,0,0,1,1,1,75
o2965,2,33,7,0,0,0,11,11,59,21
o29764,0,0,60,0,0,0,1,1,1,65
o29812,1,3,5,0,0,0,3,3,5,7
o29813,2,9,23,0,0,0,7,7,13,27
o29932,0,43,48,0,0,1,1,1,59,49
o29934,0,12,30,0,0,1,1,1,13,31
o29941,0,45,38,0,0,0,1,1,61,39
o29942,0,4,34,0,0,0,1,1,7,35
o29959,0,368,12,0,0,0,1,1,507,13
o29961,0,20,32,0,0,0,1,1,21,33
o29967,0,30,104,0,0,1,1,1,31,105
o29987,0,128,14,0,0,1,1,1,155,15
o29989,0,0,34,0,0,0,1,1,1,35
o29990,0,10,28,0,0,0,1,1,11,29
o29991,0,13,22,0,0,1,1,1,19,23
o30001,0,12,150,0,0,23,1,1,13,151
o30004,0,35,18,0,0,0,1,1,43,19
o30006,0,38,24,0,0,0,1,1,45,25
o30013,0,34,30,0,0,0,1,1,35,31
o30022,0,129,78,0,0,0,1,1,161,79
o30027,0,20,42,0,0,2,1,1,21,43
o30029,0,4,28,0,0,0,1,1,5,29
o30042,0,4,20,0,0,0,1,1,5,21
o30045,0,36,26,0,0,1,1,1,43,27
o30059,0,18,52,0,0,2,1,1,19,53
o30060,0,4,10,0,0,1,1,1,5,11
o30062,0,9,12,0,0,0,1,1,11,13
o30076,0,6,12,0,0,0,1,1,7,13
o30094,0,16,48,0,0,0,1,1,17,49
o30119,0,0,72,0,0,0,1,1,1,73
o30125,0,42,10,0,0,0,1,1,69,11
o30126,0,2,6,0,0,0,1,1,3,7
o30134,0,0,48,0,0,0,1,1,1,49
o30141,0,20,102,0,0,1,1,1,23,103
o30146,0,0,162,0,0,0,1,1,1,163
o30153,0,0,50,0,0,0,1,1,1,51
o30160,0,167,98,0,0,0,1,1,213,99
o30180,0,11,46,0,0,0,1,1,15,47
o30212,0,0,48,0,0,1,1,1,1,49
o30213,0,9,28,0,0,0,1,1,11,29
o30219,0,2,24,0,0,0,1,1,3,25
o30221,0,96,54,0,0,0,1,1,117,55
o30222,0,10,106,0,0,0,1,1,11,107
o30227,0,66,142,0,0,0,1,1,71,143
o30230,0,15,36,0,0,0,1,1,21,37
o30231,0,100,24,0,0,0,1,1,109,25
o30259,0,18,62,0,0,0,1,1,19,63
o30262,0,6,22,0,0,0,1,1,7,23
o30263,0,0,156,0,0,0,1,1,1,157
o30265,0,16,32,0,0,1,1,1,17,33
o30271,0,30,6,0,0,0,1,1,33,7
o30275,0,64,20,0,0,1,1,1,81,21
o30283,0,4,10,0,0,1,1,1,5,11
o30284,0,388,26,0,0,0,1,1,547,27
o30286,0,8,34,0,0,0,1,1,9,35
o30287,0,15,60,0,0,0,1,1,23,61
o30305,0,10,12,0,0,1,1,1,11,13
o30308,0,33,30,0,0,1,1,1,47,31
o30309,0,0,38,0,0,0,1,1,1,39
o30322,0,16,32,0,0,1,1,1,17,33
o30341,0,144,18,0,0,0,1,1,201,19
o30342,0,25,134,0,0,0,1,1,33,135
o30360,0,19,6,0,0,1,1,1,27,7
o30369,0,8,178,0,0,0,1,1,9,179
o30398,0,33,26,0,0,1,1,1,37,27
o30410,0,20,34,0,0,0,1,1,27,35
o30411,0,12,34,0,0,1,1,1,13,35
o30422,0,4,18,0,0,0,1,1,5,19
o30423,0,8,2,0,0,0,1,1,9,3
o30439,0,61,58,0,0,0,1,1,63,59
o30452,0,254,14,0,0,0,1,1,289,15
o30464,0,100,10,0,0,0,1,1,119,11
o30466,0,6,4,0,0,0,1,1,7,5
o30467,0,10,30,0,0,0,1,1,11,31
o30473,0,2,34,0,0,0,1,1,3,35
o30476,0,2,8,0,0,0,1,1,3,9
o30477,0,8,90,0,0,0,1,1,9,91
o30485,0,13,8,0,0,0,1,1,21,9
o30488,0,2,96,0,0,0,1,1,3,97
o30491,0,4,24,0,0,0,1,1,5,25
o30506,0,67,8,0,0,1,1,1,91,9
o30510,0,31,8,0,0,0,1,1,37,9
o30517,0,0,18,0,0,2,1,1,1,19
o30518,0,8,34,0,0,3,1,1,9,35
o30521,0,47,24,0,0,0,1,1,67,25
o30532,0,4,256,0,0,0,1,1,5,257
o30538,0,8,24,0,0,1,1,1,9,25
o30544,0,12,122,0,0,0,1,1,13,123
o30568,0,231,22,0,0,0,1,1,291,23
o30579,0,56,48,0,0,0,1,1,73,49
o30582,0,6,18,0,0,0,1,1,7,19
o30593,0,6,6,0,0,0,1,1,7,7
o30604,0,16,10,0,0,0,1,1,17,11
o30614,0,14,16,0,0,0,1,1,15,17
o30623,0,24,154,0,0,0,1,1,25,155
o30625,0,8,32,0,0,0,1,1,9,33
o30633,0,18,174,0,0,0,1,1,19,175
o30651,0,12,32,0,0,1,1,1,15,33
o30654,0,139,36,0,0,0,1,1,175,37
o30655,0,4,14,0,0,0,1,1,5,15
o30671,0,49,16,0,0,0,1,1,53,17
o30698,0,0,98,0,0,1,1,1,1,99
o30699,0,30,34,0,0,1,1,1,43,35
o30701,0,11,28,0,0,0,1,1,17,29
o30734,0,10,32,0,0,0,1,1,11,33
o30735,0,26,78,0,0,1,1,1,27,79
o30745,0,6,184,0,0,3,1,1,7,185
o30747,0,27,32,0,0,0,1,1,37,33
o30752,0,647,10,0,0,0,1,1,875,11
o30756,0,6,24,0,0,0,1,1,7,25
o30757,0,10,18,0,0,0,1,1,11,19
o30758,0,36,22,0,0,0,1,1,37,23
o30761,0,43,28,0,0,1,1,1,49,29
o30762,0,14,84,0,0,1,1,1,23,85
o30764,0,20,42,0,0,0,1,1,21,43
o30766,0,18,70,0,0,0,1,1,27,71
o30769,0,16,188,0,0,0,1,1,17,189
o30775,0,16,16,0,0,0,1,1,17,17
o30776,0,8,42,0,0,1,1,1,9,43
o30784,0,0,64,0,0,0,1,1,1,65
o30802,0,327,8,0,0,1,1,1,427,9
o30803,0,28,10,0,0,0,1,1,29,11
o30804,0,4,98,0,0,0,1,1,5,99
o30815,0,18,14,0,0,0,1,1,19,15
o30832,0,118,16,0,0,1,1,1,147,17
o30846,0,12,36,0,0,0,1,1,13,37
o30847,0,4,38,0,0,1,1,1,5,39
o30856,0,10,24,0,0,1,1,1,11,25
o30867,0,191,24,0,0,1,1,1,247,25
o30871,0,8,12,0,0,0,1,1,9,13
o30877,0,135,26,0,0,1,1,1,207,27
o30892,0,2,16,0,0,0,1,1,3,17
o30899,0,16,8,0,0,0,1,1,17,9
o30911,0,122,44,0,0,1,1,1,139,45
o30922,0,6,60,0,0,2,1,1,7,61
o30940,0,53,48,0,0,0,1,1,69,49
o30949,0,8,36,0,0,0,1,1,9,37
o30959,0,14,54,0,0,1,1,1,15,55
o30962,0,12,6,0,0,0,1,1,13,7
o30973,0,458,144,0,0,0,1,1,639,145
o30981,0,23,16,0,0,0,1,1,25,17
o30988,0,58,44,0,0,0,1,1,87,45
o30994,0,4,40,0,0,0,1,1,5,41
o31007,0,2,100,0,0,0,1,1,3,101
o31008,0,14,8,0,0,0,1,1,15,9
o31032,0,2,16,0,0,1,1,1,3,17
o31042,0,4,40,0,0,0,1,1,5,41
o31043,0,10,14,0,0,0,1,1,11,15
o31055,0,8,16,0,0,1,1,1,9,17
o31057,0,92,96,0,0,0,1,1,125,97
o31058,0,6,28,0,0,1,1,1,7,29
o31059,0,4,14,0,0,0,1,1,5,15
o31060,0,20,16,0,0,1,1,1,27,17
o31089,0,10,2,0,0,0,1,1,11,3
o31090,0,8,24,0,0,0,1,1,9,25
o31092,0,14,12,0,0,0,1,1,15,13
o31097,0,21,28,0,0,0,1,1,31,29
o31100,0,404,10,0,0,0,1,1,499,11
o31108,0,14,26,0,0,1,1,1,15,27
o31109,0,0,18,0,0,1,1,1,1,19
o31112,0,4,18,0,0,0,1,1,5,19
o31117,0,30,2,0,0,0,1,1,31,3
o31121,0,12,6,0,0,1,1,1,13,7
o31132,0,510,20,0,0,1,1,1,711,21
o31136,0,77,38,0,0,1,1,1,97,39
o31158,0,42,14,0,0,1,1,1,43,15
o31163,0,12,14,0,0,0,1,1,13,15
o31168,0,14,14,0,0,0,1,1,15,15
o31171,0,2,94,0,0,1,1,1,3,95
o31175,0,8,4,0,0,0,1,1,9,5
o31176,0,31,118,0,0,0,1,1,35,119
o31177,0,10,30,0,0,0,1,1,11,31
o31185,0,2,8,0,0,0,1,1,3,9
o31201,0,26,44,0,0,0,1,1,41,45
o31242,0,2,8,0,0,0,1,1,3,9
o31244,0,172,60,0,0,1,1,1,231,61
o31276,2,,2,0,,0,7,7,,7
o31277,3,,3,0,,0,9,9,,9
o31282,0,1043,139,0,0,0,3,3,1287,155
o31289,0,,44,0,,0,1,1,,45
o31290,0,2,101,0,0,0,1,1,3,107
o31291,2,,33,0,,0,15,15,,49
o31293,3,3,14,0,0,0,7,7,7,25
o31337,0,6,4,0,0,0,1,1,7,5
o31339,,,2,,,0,1,,,3
o31350,3,19,3,0,0,0,7,7,23,7
o31351,5,,140,4,,0,13,13,,165
o31352,2,2,51,0,0,2,5,5,5,63
o31362,0,0,38,0,0,0,1,1,1,43
o31545,0,2,6,0,0,0,1,1,3,7
o31608,0,108,6,0,0,0,1,1,139,7
o31612,0,10,10,0,0,0,1,1,11,11
o31623,0,15,6,0,0,0,1,1,25,7
o31638,0,65,26,0,0,0,1,1,75,27
o31646,0,25,16,0,0,0,1,1,33,17
o31835,0,263,20,0,0,0,1,1,347,21
o31936,0,19,30,0,0,0,1,1,31,31
o31994,0,14,80,0,0,0,1,1,15,81
o32011,0,115,62,0,0,1,1,1,135,63
o32020,0,46,36,0,0,0,1,1,47,37
o32026,0,16,76,0,0,0,1,1,23,77
o3206,0,217,8,0,0,0,1,1,277,9
o32069,0,4,34,0,0,0,1,1,5,35
o3211,0,136,6,0,0,0,1,1,193,7
o3212,1,3,233,0,1,0,3,3,5,265
o32227,0,42,34,0,0,0,1,1,43,35
o32246,0,341,16,0,0,0,1,1,433,17
o32289,0,4,20,0,0,0,1,1,5,21
o32436,0,0,146,0,0,0,1,1,1,227
o32437,0,0,13,0,0,0,1,1,1,17
o32451,0,,467,0,,30,5,5,,491
o32474,0,28,27,0,0,0,1,1,29,29
o32477,0,79,10,0,0,0,1,1,89,11
o32478,0,57,4,0,0,0,1,1,65,5
o32480,0,0,18,0,0,0,1,1,1,19
o32481,0,22,6,0,0,0,1,1,23,7
o32485,0,107,2,0,0,0,1,1,135,3
o32487,0,10,6,0,0,0,1,1,11,7
o32488,0,11,8,0,0,0,1,1,15,9
o32494,1,9,27,0,0,0,3,3,11,29
o32498,1,1,1,0,0,0,3,3,3,3
o32502,0,4,4,0,0,0,1,1,5,5
o32509,2,10,6,0,0,0,5,5,13,9
o32511,5,12,9,0,0,0,15,15,23,19
o32512,0,2,6,0,0,0,1,1,3,7
o32514,0,25,8,0,0,0,1,1,39,9
o32592,0,0,30,0,0,0,1,1,1,31
o32645,0,8,350,0,0,0,1,1,9,375
o32648,5,47,7,0,5,0,15,15,83,17
o32662,2,,,0,,,5,5,,
o32665,1,1,,0,0,,3,3,3,
o32668,1,,,0,,,3,3,,
o32672,,0,,,0,,1,,1,
o32715,0,1723,166,0,38,0,3,3,2097,183
o32735,1,33,1,0,0,0,3,3,41,3
o32736,,38,8,,0,0,1,,45,9
o32806,0,0,54,0,0,0,1,1,1,55
o32807,1,3,4,0,1,0,3,3,5,7
o32847,4,544,10,0,0,0,15,15,737,21
o32917,0,237,169,0,15,0,1,1,319,205
o32919,0,57,2,0,0,0,1,1,83,3
o32962,3,17,9,0,0,0,7,7,21,13
o32963,1,1,3,0,0,0,5,5,5,7
o33011,7,24,,0,2,,27,27,7,
o33017,0,1329,17,0,0,0,1,1,1745,23
o33027,0,55,103,0,0,0,1,1,65,109
o33028,2,33,164,0,0,0,5,5,51,181
o33032,0,,1293,0,,44,9,9,,1485
o33033,0,16,259,0,0,0,1,1,17,289
o33129,0,54,118,0,15,0,3,3,69,141
o33192,2,,85,0,,10,11,11,,99
o33193,0,62,30,0,0,0,1,1,87,31
o33423,12,79,,0,,,33,33,109,
o33426,3,18,126,0,0,0,7,7,31,141
o33679,6,,68,0,,0,13,13,,79
o33682,5,,64,0,,0,11,11,,75
o33683,5,,76,0,,0,11,11,,85
o33684,4,,60,0,,0,9,9,,69
o33687,6,5,36,0,0,0,13,13,13,43
o33692,0,60,16,0,0,0,1,1,63,17
o33693,8,,,0,,,17,17,,
o33695,3,,,0,,,7,7,,
o33696,8,,,0,,,21,21,,
o33698,3,160,52,0,0,0,11,11,191,69
o33700,2,,28,0,,0,11,11,,39
o33701,2,,40,0,,0,11,11,,57
o33702,3,11,9,0,0,0,7,7,15,13
o33704,3,275,37,0,0,0,11,11,341,47
o33706,2,4,2,0,0,0,5,5,7,5
o33707,3,3,3,0,0,0,7,7,7,7
o33708,3,337,18,0,0,0,11,11,437,27
o33714,1,,,0,,,3,3,,
o33732,0,0,20,0,0,0,1,1,1,25
o33733,1,229,67,0,0,0,9,9,289,79
o33778,2,171,175,0,0,0,5,5,209,199
o33783,0,30,55,0,0,0,1,1,31,59
o33784,0,229,7,0,0,0,1,1,281,9
o33825,5,243,11,0,0,0,17,17,327,23
o33831,0,177,23,0,0,0,3,3,221,29
o33832,2,,5,0,,0,7,7,,9
o33834,1,,24,0,,0,5,5,,29
o3385,0,0,128,0,0,1,1,1,1,153
o33924,20,,46,0,,0,63,63,,87
o33925,0,50,40,0,0,0,5,5,65,53
o33932,5,,57,0,,0,17,17,,77
o33933,4,27,28,0,7,1,11,11,41,41
o33938,4,4,23,0,4,0,9,9,9,33
o33939,3,133,46,0,1,0,11,11,155,61
o33940,0,153,14,0,0,0,1,1,187,15
o33942,0,1,4,0,1,0,3,3,3,7
o33964,13,51,67,0,12,1,35,35,99,91
o33965,1,66,48,0,0,0,3,3,71,55
o33966,0,57,10,0,0,0,1,1,73,11
o34210,1,,1,0,,0,1,1,,1
o34211,0,0,2,0,0,0,1,1,1,3
o34336,7,7,9,0,0,0,15,15,15,17
o34351,0,8,55,0,0,0,1,1,9,63
o34358,3,,5,0,,0,7,7,,9
o34361,0,0,0,0,0,0,1,1,1,1
o34362,2,,14,0,,0,7,7,,19
o34373,0,4,10,0,0,0,1,1,5,11
o34374,0,32,20,0,0,0,1,1,41,21
o34383,,38,665,,0,0,1,,49,701
o34384,0,66,163,0,0,0,1,1,67,179
o3439,0,385,61,0,0,0,1,1,523,69
o3446,0,6,10,0,0,0,1,1,7,11
o34462,3,17,3,0,0,0,9,9,27,9
o3454,3,7,7,0,2,0,13,13,9,17
o3456,11,16,41,0,2,0,19,23,13,59
o3460,11,15,182,0,2,0,19,23,7,225
o3472,2,,40,0,,0,9,9,,57
o34759,0,10,150,0,0,0,1,1,11,187
o34851,6,90,40,0,2,0,17,19,181,67
o34871,2,,132,0,,4,9,9,,165
o34872,0,,164,0,,25,1,1,,171
o34889,1,,25,0,,0,7,7,,33
o34896,0,24,46,0,0,0,1,1,31,47
o34897,0,27,42,0,0,0,1,1,35,43
o34898,0,24,8,0,0,0,1,1,33,9
o34899,7,73,72,0,1,0,27,27,111,93
o35154,0,72,14,0,0,0,1,1,105,15
o35166,3,,11,0,,0,11,11,,19
o35167,2,,4,0,,0,5,5,,7
o35168,0,32,2,0,0,0,1,1,41,3
o3518,0,31,105,0,0,0,1,1,35,109
o35186,2,,931,0,,0,9,9,,1121
o35233,0,,16,0,,0,1,1,,17
o3545,0,26,14,0,0,0,1,1,27,15
o35505,0,0,2,0,0,0,1,1,1,3
o35767,0,160,64,0,0,1,1,1,229,65
o35771,2,,12,0,,0,11,11,,21
o35772,4,4,8,0,0,0,9,9,9,13
o35773,4,4,4,0,0,0,9,9,9,9
o35775,2,2,4,0,0,0,5,5,5,7
o35778,1,,4,0,,0,5,5,,7
o35779,0,71,10,0,0,0,1,1,109,11
o35798,4,,40,0,,0,11,11,,51
o358,43,,7,0,,3,9,49,,11
o35815,4,11,38,0,1,1,11,11,13,63
o35830,0,2,12,0,3,0,3,3,5,15
o35866,0,0,0,0,0,0,1,1,1,1
o35868,0,23,16,0,0,0,1,1,29,17
o35870,2,102,90,0,7,0,5,5,139,111
o359,1,6,50,0,2,3,7,7,7,61
o35904,0,0,8,0,0,,1,1,1,9
o35905,0,169,10,0,0,0,1,1,227,11
o35907,0,,42,0,,0,1,1,,51
o35924,0,,15,0,,0,3,3,,19
o35936,0,,27,0,,0,1,1,,31
o35937,0,,14,0,,0,1,1,,17
o360,6,,75,0,,3,17,17,,91
o36008,0,0,106,0,0,0,1,1,1,109
o36009,,473,38,,0,0,39,,661,63
o36010,0,3,403,0,1,0,3,3,5,425
o36011,0,24,1589,0,0,0,3,3,37,1671
o36012,0,12,,0,0,,3,3,19,
o36016,0,2,64,0,0,3,3,3,5,69
o36073,0,0,22,0,0,0,1,1,1,27
o36075,,0,11,,0,0,1,,1,15
o36151,1,999,57,0,0,0,11,11,1341,89
o36153,0,,217,0,,0,9,9,,287
o3616,0,16,14,0,0,0,1,1,17,15
o3617,0,164,22,0,0,0,1,1,253,23
o3620,0,2,8,0,0,0,1,1,3,9
o36222,3,42,7,0,1,0,7,7,57,11
o3625,0,0,636,0,0,0,1,1,1,637
o36250,1,,1,0,,0,1,1,,1
o36252,0,2,16,0,0,0,1,1,3,17
o3626,5,25,30,0,2,0,7,9,27,45
o36264,1,13,1,0,1,0,1,1,13,1
o36270,0,18,2,0,0,0,1,1,19,3
o36272,0,0,2,0,0,0,1,1,1,3
o36276,4,,77,0,,0,9,5,,115
o36429,1,,13,1,,0,5,5,,21
o36440,0,0,26,0,0,0,1,1,1,29
o36441,0,8,16,0,0,0,1,1,9,17
o36452,0,8567,430,0,0,0,5,5,10587,473
