schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors,correct_instance_ast_size,DG_ast_size,JE_ast_size,JSF_ast_size
o81130,0,16,20,0,0,0,1,1,17,21
o81131,0,4,293,0,0,0,1,1,5,313
o81132,0,118,369,0,0,0,1,1,159,401
o81133,0,4,19,0,0,0,1,1,5,23
o81134,0,0,295,0,0,0,1,1,1,323
o81135,0,0,274,0,0,0,1,1,1,293
o81159,1,12,,0,2,,3,3,13,
o81160,1,25,,0,2,,3,3,35,
o81164,1,24,43,1,1,0,13,13,25,59
o81186,0,44,6,0,0,0,1,1,59,7
o81495,0,0,0,0,0,0,1,1,1,1
o81496,0,0,34,0,0,0,1,1,1,39
o81497,0,0,2,0,0,0,1,1,1,3
o81498,0,0,6,0,0,0,1,1,1,7
o81499,0,0,23,0,0,0,1,1,1,27
o81522,11,166,21,0,0,0,45,45,229,59
o81526,3,11,10,0,1,0,7,7,21,17
o81530,5,4,4,1,2,1,11,11,11,11
o81531,4,5,5,0,1,0,11,11,11,11
o81532,4,4,4,0,1,0,11,11,11,11
o81533,6,48,7,0,1,0,15,15,89,17
o81562,5,5,6,0,0,0,13,13,13,15
o81564,5,5,5,0,1,0,11,11,11,11
o81565,5,5,9,0,0,0,11,11,11,15
o81566,5,5,5,0,1,0,11,11,11,11
o81573,0,0,2,0,0,0,3,3,3,7
o81574,2,,3,0,,0,7,7,,9
o81575,2,,2,0,,0,7,7,,9
o81576,4,4,9,0,0,0,15,15,15,25
o81578,5,5,9,0,0,0,13,13,13,21
o81581,5,,5,0,,0,11,11,,11
o81583,3,3,10,0,0,0,7,7,7,17
o81587,4,4,5,0,0,0,11,11,11,11
o81588,0,12,12,0,0,0,1,1,13,13
o81589,0,0,8,0,0,0,1,1,1,9
o81591,1,1,1,0,0,0,3,3,3,3
o81593,2,3,2,0,0,0,7,7,9,7
o81594,2,1,4,0,0,0,7,7,7,11
o81595,5,11,10,0,0,0,15,15,29,25
o81596,9,9,9,0,0,0,21,21,21,21
