schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors
o21356,17,,1000,0,,3
o21358,4,,163,0,,0
o21359,7,,,0,,
o21360,17,,,0,,
o21361,0,0,2,0,0,0
o21362,4,,79,0,,0
o21363,8,,1621,0,,0
o21364,19,,1466,0,,15
o21366,7,,139,0,,0
o21367,7,,1391,0,,3
o21368,20,,1759,0,,0
o21370,6,,63,0,,0
o21371,8,,1163,0,,150
o21372,20,,1789,0,,1
o21374,3,,73,0,,0
o21375,9,,1498,0,,247
o21376,19,,1007,0,,1
o21378,6,,,0,,
o21379,11,,1392,0,,5
o21380,22,,1275,0,,3
o21381,0,0,24,0,0,0
o21382,8,,64,0,,2
o21383,9,,,0,,
o21384,18,,1440,0,,0
o21386,7,,87,0,,2
o21387,10,,769,0,,82
o21388,20,,1501,0,,2
o21389,0,0,31,0,0,0
o21390,8,,74,0,,1
o21391,9,,1010,0,,114
o21392,17,,736,0,,4
o21393,0,0,6,0,0,0
o21394,6,,95,0,,4
o21395,9,,520,0,,3
o21396,21,,597,0,,121
o21398,7,,64,0,,0
o21399,7,,1414,0,,2
o2140,1,20,1,0,0,1
o21400,17,,1940,0,,0
o21402,4,,46,0,,0
o21403,7,,1385,0,,1
o21404,16,,,0,,
o21405,0,0,86,0,0,0
o21406,5,,85,0,,0
o21407,9,,1442,0,,221
o21408,21,,1712,0,,0
o2141,1,714,8,0,0,0
o21410,7,,79,0,,1
o21411,7,,1200,0,,0
o21412,18,,579,0,,3
o21414,5,,134,0,,0
o21415,13,,524,0,,4
o21416,24,,1572,0,,0
o21418,11,,115,0,,2
o21419,8,,1138,0,,4
o2142,0,15,0,0,1,0
o21420,16,,1503,0,,2
o21421,0,0,56,0,0,0
o21422,6,,75,0,,0
o21423,7,,1838,0,,0
o21424,20,,924,0,,0
o21426,6,,34,0,,1
o21427,5,,624,0,,1
o21428,7,,1489,0,,5
o21429,17,,312,0,,0
o21431,4,,71,0,,0
o21432,7,,1570,0,,6
o21434,0,0,45,0,0,0
o21436,9,,1451,0,,5
o21437,19,,1204,0,,2
o21439,7,,184,0,,1
o21442,7,,562,0,,1
o21464,5,,5,0,,0
o21466,5,,7,0,,0
o21468,6,,15,0,,0
o21469,8,,8,0,,0
o21470,7,,7,0,,0
o21471,5,,6,0,,0
o21472,3,,3,0,,0
o21474,0,0,26,0,0,0
o21475,1,20,16,0,0,0
o21477,1,3,5,0,0,0
o21479,1,12,6,0,1,0
o21480,0,0,6,0,0,0
o21481,0,7,16,0,0,0
o21486,0,0,12,0,0,0
o21487,1,25,13,0,0,0
o21490,0,0,6,0,0,0
o21492,0,0,36,0,0,0
o21494,4,,4,0,,0
o21499,2,2,4,0,0,0
o21500,3,,3,0,,0
o21699,0,60,115,0,0,0
o21725,0,0,14,0,0,0
o21726,1,,16,0,,0
o21729,0,2,12,0,1,0
o21731,1,,1,0,,0
o21733,1,10,6,0,0,0
o21735,1,,17,0,,0
o21764,5,,119,0,1,1
o21768,1,3,1,0,0,0
o21771,4,,23,0,,0
o21779,1,44,25,0,2,0
o21780,1,41,141,0,8,8
o21819,,16,183,,2,1
o21820,2,24,42,0,0,0
o21828,1,,1,0,,0
o21840,2,59,332,0,0,0
o21846,1,4,58,0,3,0
o21847,1,22,7,0,0,0
o21848,2,,8,0,,0
o21849,4,,14,0,,0
o21850,4,,14,0,,0
o21851,4,,13,0,,0
o21852,4,,4,0,,0
o21855,3,3,3,0,2,0
o21858,2,3,17,0,3,0
o21861,2,,1,0,,0
o21862,1,1,1,0,1,0
o21864,2,10,3,0,0,0
o21865,0,55,4,0,0,0
o21868,1,25,7,0,0,0
o21869,0,5,19,0,0,0
o21909,0,109,34,0,0,0
o22,0,,389,0,,13
o22094,1,,,0,,
o22194,0,,7,0,,0
o22199,0,,13,0,,2
o2231,3,3,30,1,1,0
o22449,1,841,102,0,7,0
o22453,2,6,2,0,0,0
o2249,1,11,11,0,0,0
o2256,3,,3,0,,0
o23,0,14,70,0,1,0
o23086,0,4,8,0,0,0
o23087,2,2,12,0,0,0
o2312,2,12,163,1,1,0
o23148,1,,1,0,,0
o23176,0,121,64,0,0,0
o23177,3,48,178,0,19,0
o23230,4,29,39,0,2,0
o23494,4,34,3,0,0,0
o2379,0,30,86,0,0,0
o24172,1,276,76,0,0,0
o24174,3,3,60,0,0,0
o24176,1,3,24,0,0,0
o24180,4,,43,0,,0
o24182,0,0,11,0,0,0
o24189,0,0,2,0,0,0
o24196,1,4,4,0,0,0
o24202,1,3,1,0,0,0
o24462,6,,67,0,,0
o24463,4,278,,0,0,
o24464,21,225,151,0,49,1
o24465,2,2,3,0,0,0
o24466,2,68,147,0,7,0
o24468,3,3,64,0,0,1
o24474,0,8,5,0,0,0
o24503,1,,1,0,,0
o24544,0,8,4,0,0,0
o2460,0,42,12,0,0,0
o2463,0,52,14,0,0,0
o24891,,6,2,,0,0
o24930,0,0,0,0,0,0
o24956,0,,41,0,,0
o24957,0,,0,0,,0
o24958,0,,53,0,,0
o24987,5,5,,0,0,
o25106,3,,11,0,,0
o25107,1,1,1,0,0,0
o25166,0,6,4,0,0,0
o25175,0,42,4,0,0,0
o25177,0,6,4,0,0,0
o25182,0,177,4,0,0,0
o25183,,,1,,,0
o25406,1,,3,0,,0
o25419,2,22,5,0,1,0
o25423,1,10,463,0,3,14
o25692,0,454,15,0,6,0
o25695,0,480,44,0,8,3
o25711,0,165,41,0,0,0
o25731,5,4,13,1,1,0
o25733,1,107,28,0,1,0
o25741,1,74,56,0,0,0
o25751,5,5,13,1,1,0
o25763,0,161,31,0,10,0
o25768,0,345,21,0,10,2
o25771,0,21,30,0,5,2
o25781,0,171,75,0,0,0
o25793,0,0,2,0,0,0
o25803,0,10,6,0,0,0
o25804,1,3,9,0,0,0
o25805,0,5,30,0,0,0
o25806,1,25,51,0,0,0
o25886,0,0,0,0,0,0
o25939,4,34,17,0,0,0
o25942,0,5,2,0,0,0
o25945,5,5,5,0,0,0
o25947,1,24,1,0,1,0
o25952,2,24,3,0,2,0
o25953,4,33,4,0,2,0
o25956,0,25,14,0,2,0
o25962,3,,8,0,,0
o25968,2,8,2,0,0,0
o25969,1,58,2,0,1,1
o25970,0,5,31,0,2,0
o25974,5,63,5,0,3,0
o25975,2,78,6,0,0,0
o25976,0,5,2,0,2,0
o25978,4,6,22,0,1,0
o25979,6,119,17,0,0,0
o25980,1,5,3,0,1,0
o25981,2,22,2,0,0,0
o25982,1,19,3,0,0,0
o25988,1,,1,0,,0
o26111,2,28,17,0,1,0
o26117,0,101,36,0,0,0
o26118,0,140,13,0,0,0
o26197,0,39,20,0,0,0
o26198,0,202,,0,0,
o26216,2,2,2,0,0,0
o26217,2,29,98,0,7,0
o26257,1,,354,0,,0
o26314,0,2,1646,0,0,0
o26565,0,,81,0,,0
o26566,4,,266,0,,0
o26578,0,,2,0,,0
o26592,3,11,11,0,0,0
o26603,0,14,155,0,0,0
o26621,0,0,238,0,0,0
o26627,0,102,70,0,66,0
o26628,1,44,1,0,0,0
o26646,3,55,9,0,0,0
o26649,2,,92,0,,0
o26651,2,44,84,0,2,0
o26690,2,79,213,0,0,0
o26966,0,18,12,0,0,0
o26969,0,4,21,0,0,0
o26972,0,10,26,0,0,0
o26974,0,14,10,0,0,0
o26975,0,165,18,0,0,0
o26982,0,24,6,0,0,0
o26992,0,8,10,0,0,0
o27006,0,10,26,0,0,0
o27017,2,6,20,0,0,0
o27018,2,,14,0,0,0
o27019,0,2,22,0,0,0
o27021,0,74,2,0,0,0
o27022,0,,4,0,1,0
o27023,0,38,16,0,0,0
o27028,0,6,2,0,0,0
o27031,0,4,8,0,0,0
o27032,0,6,8,0,0,0
o27034,0,6,8,0,0,0
o27037,0,78,16,0,0,0
o27039,4,15,254,0,7,1
o27041,0,,,0,,
o27042,0,104,14,0,0,0
o27044,1,,1,0,,0
o27046,1,105,40,0,0,0
o27074,0,5,26,0,5,1
o27219,0,24,38,0,0,0
